Date,Total Equity,Cash,Invested Value,Active Positions,Holdings
2021-05-21,1105008.7009908403,822912.2779809679,282096.42300987244,10,"SAREGAMA.NS: 176, PRAJIND.NS: 112, POLYMED.NS: 24, RPOWER.NS: 3676, TRIVENI.NS: 184, ANGELONE.NS: 418, BALRAMCHIN.NS: 85, ATGL.NS: 18, DEEPAKFERT.NS: 88, KPITTECH.NS: 104"
2021-05-28,1106663.705192474,833754.6046980892,272909.10049438477,10,"SAREGAMA.NS: 176, RPOWER.NS: 3676, TRIVENI.NS: 184, ANGELONE.NS: 418, ATGL.NS: 18, DEEPAKFERT.NS: 88, KPITTECH.NS: 104, KIRLOSBROS.NS: 70, RELINFRA.NS: 386, ELECON.NS: 456"
2021-06-04,1131587.7202064195,834556.9957915941,297030.72441482544,10,"SAREGAMA.NS: 176, RPOWER.NS: 3676, TRIVENI.NS: 184, ANGELONE.NS: 418, ATGL.NS: 18, KPITTECH.NS: 104, KIRLOSBROS.NS: 70, RELINFRA.NS: 386, ELECON.NS: 456, PRAJIND.NS: 69"
2021-06-11,1157391.4736586441,851160.1168089737,306231.3568496704,10,"RPOWER.NS: 3676, TRIVENI.NS: 184, ANGELONE.NS: 418, ATGL.NS: 18, KIRLOSBROS.NS: 70, RELINFRA.NS: 386, ELECON.NS: 456, PRAJIND.NS: 69, GPIL.NS: 81, ADANIPOWER.NS: 842"
2021-06-18,1163452.4847104559,854517.9784014235,308934.50630903244,10,"RPOWER.NS: 3676, KIRLOSBROS.NS: 70, RELINFRA.NS: 386, ELECON.NS: 456, JPPOWER.NS: 4273, TTML.NS: 823, JUBLINGREA.NS: 47, HFCL.NS: 479, FLUOROCHEM.NS: 21, JSWENERGY.NS: 163"
2021-06-25,1160635.357685218,895941.1865693429,264694.17111587524,10,"ELECON.NS: 456, TTML.NS: 823, JUBLINGREA.NS: 47, HFCL.NS: 479, FLUOROCHEM.NS: 21, JSWENERGY.NS: 163, TRIVENI.NS: 138, JWL.NS: 812, TARIL.NS: 1558, SAREGAMA.NS: 95"
2021-07-02,1186588.966763612,896578.0729132856,290010.89385032654,10,"ELECON.NS: 456, TTML.NS: 823, HFCL.NS: 479, FLUOROCHEM.NS: 21, JSWENERGY.NS: 163, TRIVENI.NS: 138, JWL.NS: 812, TARIL.NS: 1558, SAREGAMA.NS: 95, ANGELONE.NS: 314"
2021-07-09,1202891.215994557,911249.4314639173,291641.78453063965,10,"ELECON.NS: 456, HFCL.NS: 479, JSWENERGY.NS: 163, TRIVENI.NS: 138, JWL.NS: 812, TARIL.NS: 1558, SAREGAMA.NS: 95, ANGELONE.NS: 314, NEWGEN.NS: 73, JPPOWER.NS: 3968"
2021-07-16,1207396.5225947625,924371.8588946587,283024.66370010376,10,"ELECON.NS: 456, JSWENERGY.NS: 163, JWL.NS: 812, TARIL.NS: 1558, SAREGAMA.NS: 95, ANGELONE.NS: 314, NEWGEN.NS: 73, HAPPSTMNDS.NS: 17, KIRLOSBROS.NS: 53, FSL.NS: 120"
2021-07-23,1206310.2518379288,931763.0496933061,274547.2021446228,10,"JSWENERGY.NS: 163, TARIL.NS: 1558, SAREGAMA.NS: 95, ANGELONE.NS: 314, HAPPSTMNDS.NS: 17, KIRLOSBROS.NS: 53, FSL.NS: 120, FLUOROCHEM.NS: 15, GPIL.NS: 61, JUBLINGREA.NS: 41"
2021-07-30,1203983.0206087367,932893.9736955897,271089.046913147,10,"JSWENERGY.NS: 163, SAREGAMA.NS: 95, FLUOROCHEM.NS: 15, GPIL.NS: 61, BSE.NS: 191, GRAVITA.NS: 137, REDINGTON.NS: 175, INOXWIND.NS: 709, ACE.NS: 97, JSL.NS: 156"
2021-08-06,1199529.829906454,929249.1955528164,270280.6343536377,10,"JSWENERGY.NS: 163, SAREGAMA.NS: 95, FLUOROCHEM.NS: 15, BSE.NS: 191, GRAVITA.NS: 137, REDINGTON.NS: 175, INOXWIND.NS: 709, JSL.NS: 156, ANGELONE.NS: 212, TITAGARH.NS: 285"
2021-08-13,1197824.6474466268,934826.2489271109,262998.398519516,10,"JSWENERGY.NS: 163, FLUOROCHEM.NS: 15, GRAVITA.NS: 137, REDINGTON.NS: 175, INOXWIND.NS: 709, JSL.NS: 156, ANGELONE.NS: 212, TITAGARH.NS: 285, TEJASNET.NS: 60, HAPPSTMNDS.NS: 18"
2021-08-20,1185295.8327542518,924074.7835293983,261221.04922485352,10,"JSWENERGY.NS: 163, FLUOROCHEM.NS: 15, REDINGTON.NS: 175, TITAGARH.NS: 285, HAPPSTMNDS.NS: 18, ECLERX.NS: 33, ELECON.NS: 311, BASF.NS: 7, RADICO.NS: 28, ABREL.NS: 33"
2021-08-27,1187806.7764942013,921598.5093356931,266208.2671585083,10,"JSWENERGY.NS: 163, FLUOROCHEM.NS: 15, TITAGARH.NS: 285, HAPPSTMNDS.NS: 18, ECLERX.NS: 33, ABREL.NS: 33, GRAVITA.NS: 132, OLECTRA.NS: 84, ZENSARTECH.NS: 58, BLS.NS: 518"
2021-09-03,1197909.181368321,922198.519434422,275710.6619338989,10,"JSWENERGY.NS: 163, TITAGARH.NS: 285, HAPPSTMNDS.NS: 18, ECLERX.NS: 33, ABREL.NS: 33, GRAVITA.NS: 132, OLECTRA.NS: 84, BLS.NS: 518, ZENTEC.NS: 162, LODHA.NS: 46"
2021-09-10,1215628.545626016,926923.4161933379,288705.1294326782,10,"JSWENERGY.NS: 163, TITAGARH.NS: 285, HAPPSTMNDS.NS: 18, GRAVITA.NS: 132, OLECTRA.NS: 84, BLS.NS: 518, ZENTEC.NS: 162, TEJASNET.NS: 55, LINDEINDIA.NS: 9, IEX.NS: 133"
2021-09-17,1232406.3771169027,936622.5966908772,295783.7804260254,10,"JSWENERGY.NS: 163, HAPPSTMNDS.NS: 18, GRAVITA.NS: 132, OLECTRA.NS: 84, BLS.NS: 518, TEJASNET.NS: 55, LINDEINDIA.NS: 9, IEX.NS: 133, IRCTC.NS: 33, ZENSARTECH.NS: 48"
2021-09-24,1227696.634366124,943302.2224245956,284394.4119415283,10,"JSWENERGY.NS: 163, OLECTRA.NS: 84, TEJASNET.NS: 55, LINDEINDIA.NS: 9, IEX.NS: 133, IRCTC.NS: 33, ZENTEC.NS: 122, FLUOROCHEM.NS: 14, LTTS.NS: 5, SOBHA.NS: 31"
2021-10-01,1243155.2934673943,943072.6554821648,300082.6379852295,10,"JSWENERGY.NS: 163, OLECTRA.NS: 84, TEJASNET.NS: 55, IEX.NS: 133, IRCTC.NS: 33, ZENTEC.NS: 122, FLUOROCHEM.NS: 14, LTTS.NS: 5, SOBHA.NS: 31, PRESTIGE.NS: 52"
2021-10-08,1261053.118559871,945399.419707332,315653.69885253906,10,"JSWENERGY.NS: 163, OLECTRA.NS: 84, TEJASNET.NS: 55, IEX.NS: 133, IRCTC.NS: 33, ZENTEC.NS: 122, FLUOROCHEM.NS: 14, LTTS.NS: 5, PRESTIGE.NS: 52, TRIDENT.NS: 776"
2021-10-15,1283850.3469926524,948023.3973466562,335826.9496459961,10,"JSWENERGY.NS: 163, OLECTRA.NS: 84, TEJASNET.NS: 55, IEX.NS: 133, IRCTC.NS: 33, ZENTEC.NS: 122, TRIDENT.NS: 776, SONACOMS.NS: 33, TATAPOWER.NS: 115, ATGL.NS: 17"
2021-10-22,1266146.63721326,947465.0655684768,318681.571644783,10,"JSWENERGY.NS: 163, OLECTRA.NS: 84, IEX.NS: 133, ZENTEC.NS: 122, TRIDENT.NS: 776, ATGL.NS: 17, CGPOWER.NS: 175, IRB.NS: 1743, DBREALTY.NS: 563, MAHSEAMLES.NS: 105"
2021-10-29,1248253.1219437062,980044.087519878,268209.0344238281,10,"OLECTRA.NS: 84, TRIDENT.NS: 776, ATGL.NS: 17, CGPOWER.NS: 175, MAHSEAMLES.NS: 105, TRITURBINE.NS: 134, SOLARINDS.NS: 10, LTIM.NS: 3, GMRAIRPORT.NS: 684, CANBK.NS: 666"
2021-11-05,1261871.7766779843,973984.9072932188,287886.8693847656,10,"OLECTRA.NS: 84, TRIDENT.NS: 776, ATGL.NS: 17, CGPOWER.NS: 175, MAHSEAMLES.NS: 105, TRITURBINE.NS: 134, GMRAIRPORT.NS: 684, CANBK.NS: 666, DBREALTY.NS: 593, ZEEL.NS: 83"
