Date,Total Equity,Cash,Invested Value,Active Positions,Holdings
2022-09-16,4272151.847853679,1332514.5191641038,2939637.328689575,5,"HSCL.NS: 6123, ANANTRAJ.NS: 6780, KIRLOSENG.NS: 2434, TIINDIA.NS: 227, TATAINVEST.NS: 2224"
2022-09-23,4279151.543336467,1260236.0161605633,3018915.5271759033,5,"HSCL.NS: 6123, ANANTRAJ.NS: 6780, KIRLOSENG.NS: 2434, TIINDIA.NS: 227, KARURVYSYA.NS: 8846"
2022-09-30,4296198.387691386,1261806.9953039964,3034391.39238739,5,"HSCL.NS: 6123, ANANTRAJ.NS: 6780, KIRLOSENG.NS: 2434, TIINDIA.NS: 227, KARURVYSYA.NS: 8846"
2022-10-07,4440038.566830484,629741.6384476101,3810296.9283828735,6,"GOLDBEES.NS: 14970, ANANTRAJ.NS: 6780, KIRLOSENG.NS: 2434, KARURVYSYA.NS: 8846, MAZDOCK.NS: 2040, INOXWIND.NS: 16364"
2022-10-14,4428551.607178235,1278064.0735020875,3150487.5336761475,5,"ANANTRAJ.NS: 6780, KIRLOSENG.NS: 2434, KARURVYSYA.NS: 8846, MAZDOCK.NS: 2040, INOXWIND.NS: 16364"
2022-10-21,4482617.689450368,1256235.0992175187,3226382.590232849,5,"ANANTRAJ.NS: 6780, KARURVYSYA.NS: 8846, MAZDOCK.NS: 2040, INOXWIND.NS: 16364, TARIL.NS: 23339"
2022-10-28,4730421.235913186,1257801.0909165433,3472620.144996643,5,"ANANTRAJ.NS: 6780, KARURVYSYA.NS: 8846, MAZDOCK.NS: 2040, INOXWIND.NS: 16364, TARIL.NS: 23339"
2022-11-04,4830502.030263752,1259369.0347422063,3571132.9955215454,5,"ANANTRAJ.NS: 6780, KARURVYSYA.NS: 8846, MAZDOCK.NS: 2040, INOXWIND.NS: 16364, TARIL.NS: 23339"
2022-11-11,4742408.410785692,411708.8117733173,4330699.599012375,6,"GOLDBEES.NS: 15893, ANANTRAJ.NS: 6780, KARURVYSYA.NS: 8846, MAZDOCK.NS: 2040, TARIL.NS: 23339, COCHINSHIP.NS: 2191"
2022-11-18,4714254.976139326,411071.54603220837,4303183.430107117,6,"GOLDBEES.NS: 15624, ANANTRAJ.NS: 6780, KARURVYSYA.NS: 8846, MAZDOCK.NS: 2040, COCHINSHIP.NS: 2191, RVNL.NS: 10850"
2022-11-25,4816755.388196418,416840.8124632337,4399914.575733185,6,"GOLDBEES.NS: 16063, KARURVYSYA.NS: 8846, MAZDOCK.NS: 2040, COCHINSHIP.NS: 2191, RVNL.NS: 10850, UNIONBANK.NS: 9669"
2022-12-02,4968375.012075489,409101.2099095038,4559273.802165985,6,"GOLDBEES.NS: 16243, KARURVYSYA.NS: 8846, MAZDOCK.NS: 2040, COCHINSHIP.NS: 2191, RVNL.NS: 10850, UNIONBANK.NS: 9669"
2022-12-09,4886400.716789451,444714.65209981496,4441686.064689636,6,"GOLDBEES.NS: 15896, KARURVYSYA.NS: 8846, MAZDOCK.NS: 2040, COCHINSHIP.NS: 2191, UNIONBANK.NS: 9669, UCOBANK.NS: 29524"
2022-12-16,5239836.930165987,460191.56289456366,4779645.367271423,6,"GOLDBEES.NS: 17050, MAZDOCK.NS: 2040, COCHINSHIP.NS: 2191, UCOBANK.NS: 29524, FACT.NS: 2740, CENTRALBK.NS: 20050"
2022-12-23,4570071.646106493,686829.7925603507,3883241.8535461426,6,"GOLDBEES.NS: 14684, JSL.NS: 3135, INDIANB.NS: 2548, APARINDS.NS: 395, JINDALSTEL.NS: 1229, MCX.NS: 2104"
2022-12-30,4828191.831579426,666574.5602628976,4161617.2713165283,6,"GOLDBEES.NS: 15479, JSL.NS: 3135, INDIANB.NS: 2548, FACT.NS: 1816, J&KBANK.NS: 12481, IOB.NS: 21059"
2023-01-06,4782056.747048643,657712.3169338972,4124344.430114746,6,"GOLDBEES.NS: 15102, JSL.NS: 3135, INDIANB.NS: 2548, FACT.NS: 1816, BANKINDIA.NS: 7801, RVNL.NS: 9601"
2023-01-13,4795380.895529423,578508.6770998577,4216872.218429565,6,"GOLDBEES.NS: 14914, JSL.NS: 3135, BANKINDIA.NS: 7801, RVNL.NS: 9601, J&KBANK.NS: 12363, MAHABANK.NS: 23642"
2023-01-20,4763907.11317639,556103.7124271833,4207803.400749207,6,"GOLDBEES.NS: 14655, JSL.NS: 3135, RVNL.NS: 9601, MAHABANK.NS: 23642, SWANCORP.NS: 1843, GPIL.NS: 1658"
2023-01-27,4563498.219493786,535919.9841651119,4027578.2353286743,6,"GOLDBEES.NS: 14033, JSL.NS: 3135, RVNL.NS: 9601, SWANCORP.NS: 1843, GPIL.NS: 1658, JWL.NS: 5717"
2023-02-03,4448686.123493872,418594.3677146053,4030091.7557792664,6,"GOLDBEES.NS: 13503, JSL.NS: 3135, RVNL.NS: 9601, GPIL.NS: 1658, JINDALSAW.NS: 9869, GRAVITA.NS: 1262"
2023-02-10,4477541.826629484,439305.31307205034,4038236.513557434,6,"GOLDBEES.NS: 13802, JSL.NS: 3135, GPIL.NS: 1658, JINDALSAW.NS: 9869, GRAVITA.NS: 1262, USHAMART.NS: 3378"
2023-02-17,4429112.935162219,413010.1901251406,4016102.745037079,6,"GOLDBEES.NS: 13855, JSL.NS: 3135, JINDALSAW.NS: 9869, GRAVITA.NS: 1262, USHAMART.NS: 3378, APARINDS.NS: 264"
2023-02-24,4421139.357016749,1022504.4905235233,3398634.866493225,5,"JSL.NS: 3135, JINDALSAW.NS: 9869, APARINDS.NS: 264, ZENTEC.NS: 2324, PGEL.NS: 4633"
2023-03-03,4465280.895158177,1023779.1194089705,3441501.7757492065,5,"JSL.NS: 3135, JINDALSAW.NS: 9869, APARINDS.NS: 264, ZENTEC.NS: 2324, PGEL.NS: 4633"
2023-03-10,4710336.801189356,1025055.337215357,3685281.463973999,5,"JSL.NS: 3135, JINDALSAW.NS: 9869, APARINDS.NS: 264, ZENTEC.NS: 2324, PGEL.NS: 4633"
2023-03-17,4619093.673609469,428504.3793437226,4190589.294265747,6,"GOLDBEES.NS: 13927, JSL.NS: 3135, APARINDS.NS: 264, ZENTEC.NS: 2324, PGEL.NS: 4633, USHAMART.NS: 3136"
2023-03-24,4581885.350275004,411220.0296420697,4170665.3206329346,6,"GOLDBEES.NS: 13502, JSL.NS: 3135, APARINDS.NS: 264, ZENTEC.NS: 2324, USHAMART.NS: 3136, SONATSOFTW.NS: 1625"
2023-03-31,4710252.122161452,626212.6574321431,4084039.464729309,6,"GOLDBEES.NS: 13835, APARINDS.NS: 264, ZENTEC.NS: 2324, SONATSOFTW.NS: 1625, FINCABLES.NS: 829, POLICYBZR.NS: 1032"
2023-04-07,4762934.0982673215,629376.3004272031,4133557.7978401184,6,"GOLDBEES.NS: 13789, APARINDS.NS: 264, ZENTEC.NS: 2324, SONATSOFTW.NS: 1625, FINCABLES.NS: 829, POLICYBZR.NS: 1032"
2023-04-14,4726918.773338735,637327.8684429526,4089590.9048957825,6,"GOLDBEES.NS: 13651, APARINDS.NS: 264, ZENTEC.NS: 2324, SONATSOFTW.NS: 1625, FINCABLES.NS: 829, POLICYBZR.NS: 1032"
2023-04-21,4728062.780904094,629094.402783671,4098968.3781204224,6,"GOLDBEES.NS: 13827, APARINDS.NS: 264, ZENTEC.NS: 2324, SONATSOFTW.NS: 1625, FINCABLES.NS: 829, POLICYBZR.NS: 1032"
2023-04-28,4749828.549504118,636563.2382858562,4113265.3112182617,6,"GOLDBEES.NS: 13902, APARINDS.NS: 264, SONATSOFTW.NS: 1625, FINCABLES.NS: 829, POLICYBZR.NS: 1032, ANURAS.NS: 590"
2023-05-05,4808274.904251334,646018.3960726236,4162256.508178711,6,"GOLDBEES.NS: 13737, APARINDS.NS: 264, SONATSOFTW.NS: 1625, FINCABLES.NS: 829, POLICYBZR.NS: 1032, ANURAS.NS: 590"
2023-05-12,4779264.631274225,625648.3730916993,4153616.2581825256,6,"GOLDBEES.NS: 13811, SONATSOFTW.NS: 1625, FINCABLES.NS: 829, ANURAS.NS: 590, GVT&D.NS: 3075, NEULANDLAB.NS: 260"
2023-05-19,4923133.998697292,623720.7891941178,4299413.209503174,6,"GOLDBEES.NS: 14356, SONATSOFTW.NS: 1625, ANURAS.NS: 590, GVT&D.NS: 3075, NEULANDLAB.NS: 260, ADANIPOWER.NS: 14596"
2023-05-26,4911147.115636802,607926.7018794778,4303220.413757324,6,"GOLDBEES.NS: 14352, ANURAS.NS: 590, NEULANDLAB.NS: 260, ADANIPOWER.NS: 14596, ADANIGREEN.NS: 713, ADANIENT.NS: 270"
2023-06-02,4834225.3929412505,1345155.5094726225,3489069.883468628,5,"ANURAS.NS: 590, NEULANDLAB.NS: 260, ADANIPOWER.NS: 14596, ADANIGREEN.NS: 713, ADANIENT.NS: 270"
2023-06-09,4865101.888851162,1410713.0613975488,3454388.8274536133,5,"NEULANDLAB.NS: 260, ADANIGREEN.NS: 713, FORCEMOT.NS: 315, TITAGARH.NS: 1618, SUZLON.NS: 48655"
2023-06-16,4957140.08343445,1413949.754454958,3543190.328979492,5,"NEULANDLAB.NS: 260, FORCEMOT.NS: 315, TITAGARH.NS: 1618, SUZLON.NS: 48655, MAZDOCK.NS: 1200"
2023-06-23,4979014.846085271,1403846.3410136306,3575168.50507164,5,"NEULANDLAB.NS: 260, FORCEMOT.NS: 315, TITAGARH.NS: 1618, SUZLON.NS: 48655, FACT.NS: 1682"
