Date,Action,Ticker,Shares,Price,Total Value
2017-06-30,BUY,HEG.NS,954,62.28,59417.93
2017-06-30,BUY,PGEL.NS,2066,28.76,59430.18
2017-07-21,SELL,CEATLTD.NS,36,1692.69,60930.65
2017-07-21,BUY,CAPLIPOINT.NS,92,684.51,62980.9
2017-08-11,SELL,PGEL.NS,2066,30.08,62132.73
2017-08-11,SELL,CAPLIPOINT.NS,92,652.44,60018.26
2017-08-11,BUY,GOLDBEES.NS,2535,26.22,66471.81
2017-08-11,BUY,GRAPHITE.NS,333,185.98,61937.0
2017-08-11,BUY,POONAWALLA.NS,361,171.55,61934.59
2017-08-18,BUY,GOLDBEES.NS,68,26.23,1783.95
2017-08-25,BUY,GOLDBEES.NS,97,26.01,2522.93
2017-09-01,BUY,GOLDBEES.NS,216,26.82,5793.38
2017-09-08,SELL,HSCL.NS,837,102.99,86194.51
2017-09-08,SELL,POONAWALLA.NS,361,176.08,63556.82
2017-09-08,BUY,GOLDBEES.NS,8,27.32,218.55
2017-09-08,BUY,OLECTRA.NS,357,208.65,74493.76
2017-09-08,BUY,HFCL.NS,2837,26.28,74564.68
2017-09-15,SELL,PCBL.NS,1304,62.1,80974.53
2017-09-15,BUY,GOLDBEES.NS,301,26.98,8122.85
2017-09-15,BUY,JBMA.NS,702,115.6,81159.36
2017-09-22,SELL,OLECTRA.NS,357,166.16,59312.19
2017-09-22,SELL,HFCL.NS,2837,28.88,81935.07
2017-09-22,BUY,GOLDBEES.NS,91,26.72,2431.9
2017-09-22,BUY,HSCL.NS,628,131.51,82594.24
2017-09-22,BUY,SARDAEN.NS,2050,40.33,82688.46
2017-09-29,SELL,HEG.NS,954,156.8,149568.94
2017-09-29,SELL,JBMA.NS,702,106.21,74554.99
2017-09-29,SELL,SARDAEN.NS,2050,37.94,77767.57
2017-09-29,SELL,GOLDBEES.NS,44,26.66,1173.03
2017-09-29,BUY,GRAVITA.NS,663,122.83,81445.66
2017-09-29,BUY,ASAHIINDIA.NS,219,370.48,81142.96
2017-09-29,BUY,JSL.NS,737,110.38,81355.49
2017-10-06,BUY,GOLDBEES.NS,316,26.41,8346.08
2017-10-13,SELL,ASAHIINDIA.NS,219,362.03,79277.4
2017-10-13,SELL,GOLDBEES.NS,8,26.97,215.7
2017-10-13,BUY,HEG.NS,411,218.79,89930.7
2017-10-20,SELL,JSL.NS,737,111.7,82317.45
2017-10-20,SELL,GOLDBEES.NS,65,26.87,1746.6
2017-10-20,BUY,BBTC.NS,53,1649.23,87417.71
2017-10-27,SELL,GOLDBEES.NS,3515,26.28,92352.66
2017-11-17,SELL,HEG.NS,411,309.82,127323.72
2017-11-17,SELL,BBTC.NS,53,1422.97,75410.05
2017-11-17,BUY,SAREGAMA.NS,1229,79.55,97779.53
2017-11-17,BUY,ZENTEC.NS,961,101.68,97723.14
2017-11-24,SELL,GRAVITA.NS,663,145.37,96367.4
2017-11-24,BUY,ACE.NS,663,146.12,96888.79
2017-12-01,SELL,ACE.NS,663,127.89,84780.79
2017-12-01,BUY,MINDACORP.NS,510,186.28,95013.65
2017-12-08,SELL,HSCL.NS,628,155.3,97515.92
2017-12-08,BUY,HEG.NS,298,324.28,96644.86
2017-12-15,SELL,SAREGAMA.NS,1229,72.07,88570.28
2017-12-15,BUY,ACE.NS,734,136.88,100482.83
2017-12-29,BUY,GOLDBEES.NS,4444,26.27,116746.66
2018-01-05,BUY,GOLDBEES.NS,229,26.44,6055.25
2018-01-19,SELL,GRAPHITE.NS,333,615.4,204908.39
2018-01-19,SELL,ZENTEC.NS,961,124.66,119788.58
2018-01-19,SELL,GOLDBEES.NS,216,26.95,5819.97
2018-01-19,BUY,GPIL.NS,928,120.74,112061.85
2018-01-19,BUY,SONATSOFTW.NS,1236,90.69,112101.44
2018-01-26,BUY,GOLDBEES.NS,230,27.33,6287.22
2018-02-02,SELL,MINDACORP.NS,510,185.85,94773.17
2018-02-02,SELL,HEG.NS,298,411.72,122679.37
2018-02-02,SELL,ACE.NS,734,153.67,112780.97
2018-02-02,SELL,GPIL.NS,928,119.27,110667.16
2018-02-02,SELL,SONATSOFTW.NS,1236,82.31,101730.72
2018-02-02,SELL,GOLDBEES.NS,453,27.35,12390.58
2018-02-02,BUY,LTTS.NS,91,1184.8,107827.42
2018-02-02,BUY,BIOCON.NS,366,295.02,107986.86
2018-02-02,BUY,JUBLPHARMA.NS,176,612.33,107780.61
2018-02-02,BUY,VBL.NS,2779,38.9,108109.49
2018-02-02,BUY,ERIS.NS,148,727.79,107723.79
2018-02-09,BUY,GOLDBEES.NS,101,26.94,2721.36
2018-02-16,SELL,ERIS.NS,148,711.34,105267.53
2018-02-16,SELL,GOLDBEES.NS,82,27.63,2265.76
2018-02-16,BUY,SONATSOFTW.NS,1095,100.17,109692.35
2018-02-23,SELL,JUBLPHARMA.NS,176,614.9,108212.1
2018-02-23,BUY,GOLDBEES.NS,35,27.32,956.12
2018-02-23,BUY,JINDALSTEL.NS,418,261.31,109237.26
2018-03-02,SELL,VBL.NS,2779,37.34,103747.96
2018-03-02,SELL,JINDALSTEL.NS,418,245.38,102559.46
2018-03-02,SELL,GOLDBEES.NS,51,27.18,1386.3
2018-03-02,BUY,HEG.NS,228,470.44,107270.81
2018-03-02,BUY,ACE.NS,595,180.42,107358.18
2018-03-09,SELL,LTTS.NS,91,1144.4,104130.42
2018-03-09,SELL,HEG.NS,228,437.35,99704.69
2018-03-09,SELL,ACE.NS,595,165.08,98214.54
2018-03-09,SELL,GOLDBEES.NS,202,27.25,5504.35
2018-03-09,BUY,IIFL.NS,250,410.4,102610.89
2018-03-09,BUY,COFORGE.NS,641,160.06,102606.63
