,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
TRIDENT,0,1235,1236 days,10000,17009.51911,70.09519105,328.7202381,100,0,48.89196676,935 days,3,3,0,0,66.66666667,63.32442068,-7.621467132,38.03114834,-7.621467132,195 days 00:00:00,32 days 00:00:00,5.994921508,2336.506368,0.639583981,0.347370462,1.170829566,1.073897157
TRIVENI,0,1235,1236 days,10000,15386.25035,53.86250354,450.5782575,100,0,39.82014811,571 days,3,3,0,0,66.66666667,29.25185022,-0.721947195,24.57918189,-0.721947195,270 days 00:00:00,176 days 00:00:00,49.13949813,1795.416785,0.509485594,0.340769659,1.106319468,0.783500265
TRITURBINE,0,1235,1236 days,10000,33487.02702,234.8702702,681.0882744,100,0,34.26365008,323 days,2,2,0,0,100,170.9001803,23.61389714,97.25703872,,403 days 00:00:00,,,11743.51351,0.982364346,1.251745921,1.196867758,1.654808591
TIINDIA,0,1235,1236 days,10000,26551.72827,165.5172827,368.8692401,100,0,28.14428329,252 days,2,2,0,0,100,112.4859187,24.95758979,68.72175426,,376 days 00:00:00,,,8275.864134,0.938442443,1.187636149,1.190383255,1.54863886
UCOBANK,0,1235,1236 days,10000,35104.1409,251.041409,181.2824957,100,0,38.05260213,427 days,2,2,0,0,50,277.5862069,-7.030129125,277.5862069,-7.030129125,474 days 00:00:00,90 days 00:00:00,36.70935961,12552.07045,1.087606869,1.179770183,1.29972602,1.955000045
UNOMINDA,0,1235,1236 days,10000,21478.15031,114.7815031,671.5800101,100,0,34.78021176,590 days,4,3,1,2102.498031,100,50.26639526,0.165728206,26.38693399,,202 days 00:00:00,,,3125.217426,0.824078891,0.728172434,1.173550137,1.34308721
UPL,0,1235,1236 days,10000,8738.624198,-12.61375802,70.5077294,100,0,30.16888159,854 days,4,3,1,829.4636429,0,-1.034111905,-15.83166064,,-7.305174598,,63 days 08:00:00,0,-696.9464818,-0.13962643,-0.129387333,0.963369715,-0.18596394
UTIAMC,0,1235,1236 days,10000,7945.139442,-20.54860558,199.0080981,100,0,40.52137785,693 days,4,3,1,-342.8251274,33.33333333,20.54752791,-27.28886951,20.54752791,-16.36647958,394 days 00:00:00,48 days 00:00:00,0.452101826,-570.6784768,-0.113414893,-0.162068217,0.975734778,-0.16473341
ULTRACEMCO,0,1235,1236 days,10000,13083.43387,30.8343387,172.2076303,100,0,26.29432241,512 days,3,2,1,593.6880848,50,40.70765901,-11.2362051,40.70765901,-11.2362051,555 days 00:00:00,92 days 00:00:00,3.215824437,1244.872892,0.491364444,0.314143622,1.093661223,0.739642179
UNIONBANK,0,1235,1236 days,10000,37189.66398,271.8966398,588.2011605,100,0,34.67488659,351 days,4,3,1,6127.723583,100,192.1797005,2.278037383,66.13365185,,208 days 08:00:00,,,7020.646799,1.158254806,1.366518204,1.24946243,1.807840789
