,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
360ONE,0,1235,1236 days,10000,14541.25415,45.41254154,472.2171113,100,0,41.61946918,409 days,4,3,1,-243.003631,33.33333333,81.31956665,-12.3897088,81.31956665,-9.660924148,378 days 00:00:00,174 days 00:00:00,3.591271137,1594.752595,0.488579534,0.280898245,1.088518602,0.710611621
3MINDIA,0,1235,1236 days,10000,12043.15832,20.43158325,67.30708146,100,0,34.61165609,453 days,3,3,0,0,66.66666667,35.39639271,-15.2573584,20.17910051,-15.2573584,251 days 00:00:00,118 days 00:00:00,1.942289334,681.0527749,0.351893119,0.163055232,1.075659412,0.597945525
ABB,0,1235,1236 days,10000,37563.61134,275.6361134,516.2448637,100,0,26.44236149,342 days,1,1,0,0,100,275.6361134,275.6361134,275.6361134,,821 days 00:00:00,,,27563.61134,1.345673312,1.80846017,1.275499544,2.118415258
ACC,0,1235,1236 days,10000,10118.1198,1.181198025,16.97282335,100,0,33.68853305,980 days,3,3,0,0,33.33333333,32.94214281,-19.91788165,32.94214281,-12.43947015,199 days 00:00:00,102 days 00:00:00,1.049441538,39.3732675,0.137578008,0.010311357,1.039280038,0.183952922
ACMESOLAR,0,238,239 days,10000,9548.387097,-4.516129032,14.11173935,100,0,16.26411543,32 days,1,0,1,-451.6129032,,,,,,,,,,-0.371446787,-0.418978685,0.873998745,-0.552816959
AIAENG,0,1235,1236 days,10000,14909.50201,49.09502013,102.6240232,100,0,28.97452448,303 days,2,2,0,0,50,65.45056957,-9.885459736,65.45056957,-9.885459736,600 days 00:00:00,51 days 00:00:00,5.966387143,2454.751007,0.614341075,0.432061094,1.125664981,0.958913169
APLAPOLLO,0,1235,1236 days,10000,13437.83267,34.37832674,481.5112907,100,0,42.00517499,530 days,5,4,1,959.1567444,50,43.20102559,-12.04529061,26.99114717,-11.30623324,271 days 00:00:00,42 days 12:00:00,1.732184644,619.6689825,0.433463549,0.217069564,1.081672049,0.635669383
AUBANK,0,1235,1236 days,10000,9371.287072,-6.287129277,129.4349677,100,0,41.62799977,872 days,4,3,1,1712.930009,33.33333333,2.04778157,-23.46775236,2.04778157,-12.7043632,221 days 00:00:00,89 days 00:00:00,0.080418026,-780.5476454,0.05005979,-0.045625541,1.01139132,0.069484999
AWL,0,920,921 days,10000,10107.2583,1.072583015,2.665424045,100,0,4.716426682,247 days,1,1,0,0,100,1.072583015,1.072583015,1.072583015,,6 days 00:00:00,,,107.2583015,0.126872715,0.089836074,1.237196142,0.16754259
AADHARHFC,0,363,364 days,10000,11369.27164,13.6927164,55.88101381,100,0,6.696304529,24 days,1,0,1,1369.27164,,,,,,,,,,0.984805585,2.050803705,1.373159348,1.697769711
AARTIIND,0,1235,1236 days,10000,9045.694435,-9.54305565,-22.98251615,100,0,33.08606116,612 days,3,3,0,0,33.33333333,2.688017986,-9.371073655,2.688017986,-6.086763113,142 days 00:00:00,104 days 12:00:00,0.219769586,-318.101855,0.008988451,-0.088206009,1.002512384,0.012239361
AAVAS,0,1235,1236 days,10000,7330.489021,-26.69510979,17.88883044,100,0,47.88758934,924 days,3,3,0,0,33.33333333,3.309503785,-20.97735399,3.309503785,-15.59231936,162 days 00:00:00,123 days 12:00:00,0.11029983,-889.836993,-0.269152908,-0.182983328,0.934097601,-0.409015437
ABBOTINDIA,0,1235,1236 days,10000,13943.76363,39.43763631,104.9285312,100,0,31.37582149,561 days,2,1,1,5854.764944,0,-19.11001313,-19.11001313,,-19.11001313,,105 days 00:00:00,0,-1911.001313,0.537904622,0.3287719,1.097152266,0.845477418
ACE,0,1235,1236 days,10000,48407.53476,384.0753476,1447.238069,100,0,26.97883082,392 days,2,2,0,0,50,413.3540985,-5.703422053,413.3540985,-5.703422053,538 days 00:00:00,116 days 00:00:00,68.34121095,19203.76738,1.289104095,2.198619537,1.304308662,2.216400396
ADANIENSOL,0,540,541 days,10000,9797.759805,-2.022401953,18.03569246,100,0,29.76993488,307 days,3,2,1,364.7589344,0,-2.471600361,-3.279445727,,-2.875523044,,56 days 12:00:00,0,-283.4995648,0.02658163,-0.04598587,1.008983529,0.042675193
ADANIENT,0,1235,1236 days,10000,8241.937213,-17.58062787,642.659809,100,0,67.69513311,706 days,3,3,0,0,33.33333333,22.81387194,-32.40610191,22.81387194,-16.5616088,197 days 00:00:00,97 days 12:00:00,0.467276515,-586.0209291,0.062020836,-0.081982434,1.022705906,0.078307133
ADANIGREEN,0,1235,1236 days,10000,24455.33721,144.5533721,32.69320298,100,0,42.39690288,406 days,3,2,1,185.5439583,100,63.48309271,48.45445393,55.96877332,,242 days 12:00:00,,,7134.896627,0.848725653,0.712872361,1.237952903,1.381692845
ADANIPORTS,0,1235,1236 days,10000,6724.489261,-32.75510739,320.8110839,100,0,61.76060477,869 days,4,3,1,315.4915052,33.33333333,36.57491247,-39.85211741,36.57491247,-30.9166965,309 days 00:00:00,76 days 00:00:00,0.323389311,-1197.000748,-0.183554883,-0.179047438,0.952282172,-0.236718487
ADANIPOWER,0,1235,1236 days,10000,66769.39852,567.6939852,2161.057024,100,0,39.37572254,324 days,3,2,1,18769.52397,100,119.5561215,118.6223468,119.0892342,,309 days 00:00:00,,,18999.93727,1.425429238,1.909496429,1.342361358,2.456331942
ATGL,0,1235,1236 days,10000,3136.241586,-68.63758414,191.5411303,100,0,80.19210082,683 days,2,2,0,0,0,-23.27143637,-59.12550115,,-41.19846876,,180 days 12:00:00,0,-3431.879207,-0.766657148,-0.361575297,0.784064456,-0.964339539
ABCAPITAL,0,1235,1236 days,10000,16198.17547,61.98175472,377.4287801,100,0,24.69344087,320 days,5,4,1,4290.930387,50,28.21011673,-6.626763574,16.99836267,-6.301688413,226 days 00:00:00,25 days 12:00:00,2.562378114,476.8112712,0.652448317,0.619894383,1.147381748,0.965074805
ABFRL,0,1235,1236 days,10000,9564.467788,-4.35532212,-45.45873068,100,0,49.98682241,881 days,3,3,0,0,66.66666667,17.34423332,-24.01640589,12.30723326,-24.01640589,236 days 00:00:00,59 days 00:00:00,0.830943045,-145.177404,0.105195595,-0.026134878,1.023813287,0.162459157
ABLBL,0,89,90 days,10000,10000,0,-15.18436811,0,0,,,0,0,0,0,,,,,,,,,,,,,
ABREL,0,1235,1236 days,10000,22811.8446,128.118446,529.189549,100,0,39.537255,404 days,3,3,0,0,33.33333333,182.2375108,-15.3831902,182.2375108,-9.932176873,404 days 00:00:00,97 days 00:00:00,7.681532917,4270.614868,0.83059717,0.697457254,1.185109497,1.34338561
ABSLAMC,0,1002,1003 days,10000,14097.10022,40.97100218,22.23043998,100,0,35.67307602,230 days,2,1,1,-922.1418243,100,50.19242042,50.19242042,50.19242042,,368 days 00:00:00,,,5019.242042,0.595191569,0.373120206,1.140799218,0.922346142
AEGISLOG,0,350,351 days,10000,10000,0,11.29498482,0,0,,,0,0,0,0,,,,,,,,,,,,,
AEGISVOPAK,0,104,105 days,10000,10000,0,13.34710744,0,0,,,0,0,0,0,,,,,,,,,,,,,
AFCONS,0,245,246 days,10000,10000,0,-4.391641031,0,0,,,0,0,0,0,,,,,,,,,,,,,
AFFLE,0,1235,1236 days,10000,7596.774913,-24.03225087,264.1329943,100,0,51.15007373,935 days,5,4,1,-23.58026357,25,12.83005423,-19.26837959,12.83005423,-12.04331991,184 days 00:00:00,110 days 16:00:00,0.266936681,-594.9112058,-0.104285317,-0.152417695,0.978350603,-0.159578629
AJANTPHARM,0,1235,1236 days,10000,15134.25236,51.34252356,147.3599416,100,0,33.11584343,456 days,3,3,0,0,33.33333333,103.8947679,-18.87198345,103.8947679,-13.68989586,438 days 00:00:00,61 days 00:00:00,2.992012341,1711.417452,0.598806374,0.393075003,1.137194599,0.937279735
AKUMS,0,304,305 days,10000,10000,0,-41.36263736,0,0,,,0,0,0,0,,,,,,,,,,,,,
AKZOINDIA,0,1235,1236 days,10000,14447.58955,44.47589545,100.6761815,100,0,29.84030324,265 days,5,4,1,-91.00148131,50,29.69051737,-5.683318221,24.28177633,-2.848309462,246 days 12:00:00,34 days 12:00:00,7.147315823,1134.647757,0.559717675,0.384644133,1.140678134,0.995817712
APLLTD,0,1235,1236 days,10000,15126.37497,51.26374969,-0.870187806,100,0,24.77754907,282 days,1,1,0,0,100,51.26374969,51.26374969,51.26374969,,391 days 00:00:00,,,5126.374969,0.624496893,0.524653809,1.177338691,1.006318169
ALKEM,0,1235,1236 days,10000,12913.02805,29.13028047,118.7434426,100,0,21.0167089,456 days,3,2,1,-38.56379417,50,53.19009048,-15.45411456,53.19009048,-15.45411456,445 days 00:00:00,103 days 00:00:00,2.909906796,1475.795921,0.476020816,0.373125649,1.10579242,0.706122407
ALKYLAMINE,0,1235,1236 days,10000,4637.057904,-53.62942096,66.37093143,100,0,56.49340206,1004 days,4,3,1,-1263.220592,0,-4.179348255,-23.6925079,,-15.72564447,,44 days 08:00:00,0,-1366.573835,-1.489742936,-0.359396983,0.612233575,-1.901324916
ALOKINDS,0,1235,1236 days,10000,12395.1637,23.95163701,-18.55813953,100,0,44.35950393,467 days,4,4,0,0,50,73.31168831,-21.27949183,39.73592629,-17.84948374,174 days 00:00:00,74 days 12:00:00,1.490671728,598.7909254,0.355983877,0.147572216,1.092570992,0.591233088
ARE&M,0,497,498 days,10000,10000,0,61.84071477,0,0,,,0,0,0,0,,,,,,,,,,,,,
AMBER,0,1235,1236 days,10000,29491.48509,194.9148509,284.8771896,100,0,38.15732346,376 days,2,1,1,21256.26463,0,-17.6477954,-17.6477954,,-17.6477954,,185 days 00:00:00,0,-1764.77954,0.924630688,0.98611222,1.198955701,1.444677242
AMBUJACEM,0,1235,1236 days,10000,10081.80882,0.818088172,141.7933325,100,0,43.87037867,714 days,3,2,1,243.213208,50,18.12897751,-16.71310616,18.12897751,-16.71310616,219 days 00:00:00,134 days 00:00:00,0.903426455,-80.70219538,0.154926726,0.005491048,1.044296869,0.196976015
ANANDRATHI,0,959,960 days,10000,75762.4127,657.624127,1025.9594,100,0,22.36248993,169 days,2,1,1,22491.25737,100,432.7115533,432.7115533,432.7115533,,578 days 00:00:00,,,43271.15533,2.580264492,5.185521186,1.645455291,4.885859212
ANANTRAJ,0,1235,1236 days,10000,46255.90336,362.5590336,3403.540305,100,0,51.88403626,243 days,3,2,1,-4077.279006,50,461.4146184,-10.34579308,461.4146184,-10.34579308,628 days 00:00:00,138 days 00:00:00,39.98510442,20166.59118,1.18973584,1.102293042,1.247615217,1.75580688
ANGELONE,0,1235,1236 days,10000,7980.827414,-20.19172586,781.3565266,100,0,57.98666128,447 days,5,5,0,0,20,62.88103296,-25.41152751,62.88103296,-16.08168939,238 days 00:00:00,91 days 06:00:00,0.71311607,-403.8345172,0.064021658,-0.111120178,1.01355884,0.093797055
APARINDS,0,1235,1236 days,10000,63288.28667,532.8828667,3300.28668,100,0,56.35937273,202 days,3,2,1,-2941.573071,100,558.5833922,0.564120694,279.5737565,,405 days 12:00:00,,,28114.92987,1.373127064,1.285314104,1.281915091,2.215145704
APOLLOHOSP,0,1235,1236 days,10000,12238.01524,22.38015244,280.8732215,100,0,28.57199426,539 days,4,3,1,476.9212667,33.33333333,35.92901559,-13.37743035,35.92901559,-6.745730841,439 days 00:00:00,138 days 12:00:00,2.306817229,587.0313259,0.358610255,0.215089277,1.070823223,0.547284671
APOLLOTYRE,0,1235,1236 days,10000,15774.88732,57.74887318,279.7659494,100,0,25.96797094,271 days,2,1,1,-125.44642,100,59.00333738,59.00333738,59.00333738,,591 days 00:00:00,,,5900.333738,0.681238262,0.554883178,1.150686679,0.992250399
APTUS,0,1035,1036 days,10000,7217.558191,-27.82441809,-6.078300859,100,0,36.19540655,431 days,4,3,1,128.1085772,33.33333333,10.24416136,-25.24434662,10.24416136,-19.61084204,223 days 00:00:00,61 days 12:00:00,0.232405345,-970.183462,-0.369237779,-0.299834374,0.924159754,-0.550902461
ASAHIINDIA,0,1235,1236 days,10000,9138.322933,-8.616770674,329.6360644,100,0,57.76248529,923 days,5,4,1,1974.118927,25,3.263623134,-18.29291814,3.263623134,-11.33304902,168 days 00:00:00,151 days 00:00:00,0.103208721,-708.9489985,0.110218595,-0.045459797,1.021208264,0.169960202
ASHOKLEY,0,1235,1236 days,10000,6653.140115,-33.46859885,273.8911023,100,0,42.22115504,979 days,5,4,1,425.8349964,0,-0.945603431,-32.2899749,,-10.12719134,,144 days 12:00:00,0,-943.1737203,-0.343634507,-0.268533847,0.9313479,-0.473924021
ASIANPAINT,0,1235,1236 days,10000,5871.956518,-41.28043482,21.14505722,100,0,54.77533725,941 days,5,4,1,97.96289654,25,0.896907502,-26.88053894,0.896907502,-16.6463177,105 days 00:00:00,85 days 08:00:00,0.020782448,-1056.501595,-0.963808514,-0.265602543,0.773739323,-1.213312248
ASTERDM,0,1235,1236 days,10000,31541.17276,215.4117276,582.2493888,100,0,36.67790871,523 days,3,2,1,22802.24233,50,0.6549842,-13.17935714,0.6549842,-13.17935714,153 days 00:00:00,132 days 00:00:00,0.043147893,-630.5347822,1.065469764,1.101085887,1.210824377,1.785752638
ASTRAZEN,0,1235,1236 days,10000,26594.47312,165.9447312,125.4491603,100,0,28.85784009,191 days,2,1,1,16449.0004,100,1.454727223,1.454727223,1.454727223,,191 days 00:00:00,,,145.4727223,0.983751156,1.160466736,1.241256001,1.793144744
ASTRAL,0,1235,1236 days,10000,7951.932979,-20.48067021,135.6606873,100,0,38.11063728,938 days,4,4,0,0,50,3.485979597,-20.69322,1.849301718,-12.00418301,141 days 00:00:00,128 days 00:00:00,0.12184384,-512.0167552,-0.163930029,-0.171701206,0.964553023,-0.22232913
ATHERENERG,0,123,124 days,10000,10000,0,133.9728746,0,0,,,0,0,0,0,,,,,,,,,,,,,
ATUL,0,1235,1236 days,10000,5002.252163,-49.97747837,-0.348395035,100,0,54.7111738,1002 days,6,6,0,0,16.66666667,0.020195992,-20.40410377,0.020195992,-12.71774749,16 days 00:00:00,68 days 19:12:00,0.000299017,-832.9579728,-0.95294447,-0.33812648,0.778574021,-1.260814997
AUROPHARMA,0,1235,1236 days,10000,22018.47409,120.1847409,49.71686199,100,0,23.00243679,290 days,2,2,0,0,100,118.5040923,0.769161162,59.63662673,,207 days 12:00:00,,,6009.237046,1.283670721,1.141135802,1.369315253,2.200968503
AIIL,0,375,376 days,10000,19476.63751,94.76637509,215.4487886,100,0,15.6548933,14 days,1,0,1,9476.637509,,,,,,,,,,1.900202614,5.813182101,1.51516853,3.262331817
DMART,0,1235,1236 days,10000,9554.885278,-4.451147222,88.6478522,100,0,31.93519803,678 days,4,3,1,186.2250838,33.33333333,6.774552471,-6.754625673,6.774552471,-6.328092077,310 days 00:00:00,90 days 00:00:00,0.484938264,-210.446602,0.057862162,-0.041822499,1.012499068,0.083683045
AXISBANK,0,1235,1236 days,10000,10481.20466,4.812046576,137.9726406,100,0,26.46271921,520 days,5,4,1,357.9484555,25,41.92000595,-16.02799463,41.92000595,-10.51384139,534 days 00:00:00,31 days 00:00:00,1.04120887,30.81405052,0.169081556,0.052813075,1.035191413,0.240887065
BASF,0,1235,1236 days,10000,14473.87433,44.7387433,236.2712379,100,0,43.65036618,635 days,2,2,0,0,50,86.18488709,-22.26074545,86.18488709,-22.26074545,366 days 00:00:00,118 days 00:00:00,3.009759439,2236.937165,0.502759317,0.264321991,1.13828885,0.799035534
BEML,0,1235,1236 days,10000,17010.19878,70.10198784,793.3937563,100,0,49.42651775,515 days,4,3,1,-104.614429,33.33333333,128.8702035,-22.85181466,128.8702035,-12.96102115,379 days 00:00:00,124 days 00:00:00,3.82105044,2371.604404,0.572613073,0.343641557,1.124317544,0.876080016
BLS,0,1235,1236 days,10000,94926.94611,849.2694611,1499.294355,100,0,38.64785733,204 days,1,1,0,0,100,849.2694611,849.2694611,849.2694611,,886 days 00:00:00,,,84926.94611,1.540375103,2.441804716,1.312780343,2.708616565
BSE,0,1235,1236 days,10000,202878.2583,1928.782583,4765.166302,100,0,45.17723881,348 days,2,1,1,186248.0215,100,66.30236794,66.30236794,66.30236794,,213 days 00:00:00,,,6630.236794,1.900896669,3.170640288,1.427331829,3.382557029
BAJAJ-AUTO,0,1235,1236 days,10000,22777.6338,127.776338,258.8203124,100,0,30.77391341,270 days,4,3,1,621.5794946,33.33333333,133.2526887,-2.821369737,133.2526887,-2.538135568,431 days 00:00:00,64 days 12:00:00,25.25074438,4052.018102,1.313020964,0.894231928,1.336732515,1.994618025
BAJFINANCE,0,1235,1236 days,10000,11014.37342,10.14373425,214.12878,100,0,28.09299554,833 days,5,4,1,3101.357831,25,1.705763063,-15.98826738,1.705763063,-7.839396223,33 days 00:00:00,67 days 16:00:00,0.059789,-521.7461016,0.246951359,0.103023347,1.063156996,0.356105207
BAJAJFINSV,0,1235,1236 days,10000,7760.322201,-22.39677799,271.7193735,100,0,43.33155803,997 days,5,4,1,977.1047886,50,5.841354795,-25.00695317,5.152138195,-21.59934426,173 days 12:00:00,66 days 12:00:00,0.219357519,-804.195647,-0.220245453,-0.166492526,0.957137939,-0.30476951
BAJAJHLDNG,0,1235,1236 days,10000,22483.34971,124.8334971,484.0395679,100,0,36.02925279,452 days,2,1,1,11514.95793,100,9.68391783,9.68391783,9.68391783,,206 days 00:00:00,,,968.391783,0.887142096,0.750230853,1.157265355,1.355757259
BAJAJHFL,0,279,280 days,10000,10000,0,-32.8969697,0,0,,,0,0,0,0,,,,,,,,,,,,,
BALKRISIND,0,1235,1236 days,10000,6454.110102,-35.45889898,81.59655981,100,0,39.38874717,1015 days,5,5,0,0,0,-3.827934137,-13.17416378,,-8.304579158,,99 days 04:48:00,0,-709.1779796,-0.516317708,-0.307942423,0.888791307,-0.687651829
BALRAMCHIN,0,1235,1236 days,10000,7103.064292,-28.96935708,217.7573256,100,0,49.66861456,878 days,4,4,0,0,0,-1.472336765,-15.08335539,,-8.032064215,,146 days 18:00:00,0,-724.233927,-0.135984033,-0.193438611,0.97174105,-0.194773467
BANDHANBNK,0,1235,1236 days,10000,9972.606366,-0.273936339,-41.77560842,100,0,26.78109243,855 days,4,3,1,491.0886005,33.33333333,5.329435575,-5.703486214,5.329435575,-5.120529845,5 days 00:00:00,59 days 00:00:00,0.480596334,-172.8274115,0.068168725,-0.003023538,1.028506469,0.093270064
BANKBARODA,0,1235,1236 days,10000,30621.50183,206.2150183,585.9909457,100,0,25.76368265,351 days,2,1,1,2983.000197,100,176.3850164,176.3850164,176.3850164,,722 days 00:00:00,,,17638.50164,1.141433139,1.520128478,1.227588888,1.689483108
BANKINDIA,0,1235,1236 days,10000,21960.74783,119.6074783,304.4276143,100,0,34.28174136,374 days,4,3,1,3653.797716,66.66666667,53.7037037,-8.551250239,41.97327718,-8.551250239,203 days 00:00:00,13 days 00:00:00,10.71431064,2768.983372,0.881595985,0.76282794,1.216303574,1.313454774
MAHABANK,0,1235,1236 days,10000,30630.02386,206.3002386,492.5963489,100,0,32.74647887,351 days,3,2,1,691.9669946,50,221.9303604,-7.004555809,221.9303604,-7.004555809,499 days 00:00:00,2 days 00:00:00,29.46441289,9969.028433,1.095571558,1.196328432,1.277292015,1.774492024
BATAINDIA,0,1235,1236 days,10000,6829.914848,-31.70085152,-12.96440634,100,0,43.36368495,979 days,4,4,0,0,0,-2.108834118,-12.61714977,,-8.998788832,,89 days 06:00:00,0,-792.521288,-0.583494397,-0.245563782,0.856878465,-0.827319561
BAYERCROP,0,1235,1236 days,10000,8365.618217,-16.34381783,2.196922868,100,0,34.38174137,566 days,4,4,0,0,25,20.28922347,-14.55216628,20.28922347,-11.32676256,349 days 00:00:00,43 days 00:00:00,0.502580125,-408.5954457,-0.161084798,-0.149307525,0.962614899,-0.234824238
BERGEPAINT,0,1235,1236 days,10000,7374.226064,-26.25773936,6.713289453,100,0,36.38590645,518 days,4,3,1,170.1588281,33.33333333,5.206486894,-21.86095002,5.206486894,-17.11403225,188 days 00:00:00,53 days 12:00:00,0.140292897,-931.977588,-0.455673957,-0.236416059,0.885971069,-0.59973417
BDL,0,1235,1236 days,10000,47196.18253,371.9618253,1019.807834,100,0,42.06123531,328 days,3,2,1,-432.3694895,100,190.9240399,63.71473474,127.3193873,,388 days 00:00:00,,,18814.27601,1.223914053,1.381993203,1.238708343,2.014746746
BEL,0,1235,1236 days,10000,38952.35025,289.5235025,1406.985294,100,0,22.81763962,242 days,3,2,1,7120.516233,100,132.5610187,36.87519166,84.7181052,,380 days 12:00:00,,,10915.91701,1.372528361,2.165570486,1.268675178,2.048289098
BHARATFORG,0,1235,1236 days,10000,16060.87816,60.60878158,202.3597466,100,0,27.89951411,339 days,5,4,1,208.5036566,75,41.07362641,-3.009311682,18.89644584,-3.009311682,162 days 16:00:00,48 days 00:00:00,20.44755187,1463.093625,0.694023243,0.53828316,1.172012994,1.021310064
BHEL,0,1235,1236 days,10000,34671.34916,246.7134916,850.8369723,100,0,34.76425901,324 days,3,2,1,4421.330147,50,252.1334711,-14.09501938,252.1334711,-14.09501938,502 days 00:00:00,67 days 00:00:00,15.36679048,10125.00951,1.166168556,1.276123624,1.279910003,1.7282867
BPCL,0,1235,1236 days,10000,17685.92119,76.85921188,190.8102275,100,0,25.91189629,269 days,3,2,1,1419.680009,50,64.84751204,-1.325528193,64.84751204,-1.325528193,271 days 00:00:00,182 days 00:00:00,48.27354132,3133.12059,0.830003556,0.707727632,1.203866693,1.243215118
BHARTIARTL,0,1235,1236 days,10000,25558.99759,155.5899759,370.8871721,100,0,19.92412545,431 days,3,2,1,14989.05391,50,7.435781127,-1.616169534,7.435781127,-1.616169534,201 days 00:00:00,141 days 00:00:00,4.282434569,284.9718381,1.325739357,1.602688922,1.248105239,2.066266441
BHARTIHEXA,0,384,385 days,10000,12805.17503,28.05175028,131.609117,100,0,17.38991655,83 days,1,0,1,2805.175028,,,,,,,,,,0.939700945,1.519125011,1.226696316,1.54515636
BIKAJI,0,730,731 days,10000,12439.835,24.39835001,133.0369011,100,0,34.21383776,274 days,3,2,1,-679.473299,100,29.56274107,1.258341651,15.41054136,,171 days 12:00:00,,,1559.65415,0.517110932,0.336628541,1.104931323,0.820661963
BIOCON,0,1235,1236 days,10000,9792.014301,-2.07985699,-5.868826235,100,0,27.90043446,560 days,4,3,1,-360.1152365,33.33333333,20.31587755,-11.98928086,20.31587755,-8.057884285,295 days 00:00:00,42 days 12:00:00,1.097387633,50.70984584,0.097204636,-0.022177154,1.022698835,0.141943539
BSOFT,0,1235,1236 days,10000,19493.23841,94.93238406,129.4460463,100,0,33.79638926,428 days,2,2,0,0,50,101.4388054,-3.22997416,101.4388054,-3.22997416,239 days 00:00:00,150 days 00:00:00,30.39106611,4746.619203,0.881342147,0.644687595,1.245579889,1.358286183
BLUEDART,0,1235,1236 days,10000,10126.57253,1.265725282,77.2953846,100,0,33.85223747,758 days,4,4,0,0,50,18.58809622,-11.4528131,10.7945067,-8.912430946,183 days 12:00:00,114 days 12:00:00,1.060615829,31.64313204,0.138242209,0.010992568,1.028963944,0.207155464
BLUEJET,0,492,493 days,10000,12725.08767,27.25087671,57.16956395,100,0,35.94994199,70 days,1,1,0,0,100,27.25087671,27.25087671,27.25087671,,263 days 00:00:00,,,2725.087671,0.621976756,0.543334046,1.126079591,0.943308248
BLUESTARCO,0,1235,1236 days,10000,28865.02658,188.6502658,549.0868184,100,0,33.31055116,288 days,3,3,0,0,66.66666667,172.7776215,-1.49605753,90.10183617,-1.49605753,329 days 00:00:00,191 days 00:00:00,118.3814625,6288.342193,1.079299662,1.103480267,1.209037892,1.741017027
BBTC,0,1235,1236 days,10000,22108.18621,121.0818621,69.7812681,100,0,32.47937701,439 days,3,3,0,0,66.66666667,119.2477598,-2.562508041,61.36810136,-2.562508041,210 days 00:00:00,9 days 00:00:00,46.65853808,4036.06207,0.827234827,0.81284162,1.25939857,1.595407955
BOSCHLTD,0,1235,1236 days,10000,15831.30561,58.31305611,245.5005998,100,0,35.61903985,543 days,3,2,1,499.5306616,50,65.10382762,-7.138585639,65.10382762,-7.138585639,609 days 00:00:00,128 days 00:00:00,8.468951441,2665.887475,0.692849247,0.407924309,1.134918542,1.029067357
FIRSTCRY,0,302,303 days,10000,10000,0,-48.4317479,0,0,,,0,0,0,0,,,,,,,,,,,,,
BRIGADE,0,1235,1236 days,10000,21520.44235,115.2044235,482.1472599,100,0,33.38057072,419 days,4,4,0,0,50,112.0399088,-18.17408261,72.8246327,-12.67017321,300 days 00:00:00,47 days 12:00:00,3.817085633,2880.110587,0.798964195,0.760886204,1.163715449,1.233031117
BRITANNIA,0,1235,1236 days,10000,13506.02483,35.06024828,85.61576792,100,0,27.17839205,268 days,4,3,1,1053.375432,33.33333333,27.0763988,-1.849869961,27.0763988,-1.004772894,296 days 00:00:00,144 days 12:00:00,12.96982658,817.5497984,0.59761899,0.34149465,1.129827876,0.91071557
MAPMYINDIA,0,954,955 days,10000,7807.832583,-21.92167417,32.21970146,100,0,51.15470215,482 days,3,3,0,0,33.33333333,27.84410681,-33.99408654,27.84410681,-20.73370814,183 days 00:00:00,87 days 12:00:00,0.559503061,-730.7224725,-0.233011198,-0.176412505,0.945245134,-0.341789653
CCL,0,1235,1236 days,10000,9373.950212,-6.260497883,280.8622456,100,0,40.45464597,567 days,4,3,1,-735.2053332,33.33333333,28.83261438,-16.41501356,28.83261438,-11.26883601,386 days 00:00:00,149 days 12:00:00,1.042022118,36.38518164,0.08929406,-0.046745389,1.01672866,0.134276806
CESC,0,1235,1236 days,10000,19416.47237,94.16472366,312.4627721,100,0,38.70017587,470 days,3,2,1,2112.689923,50,88.14388489,-8.028993588,88.14388489,-8.028993588,376 days 00:00:00,134 days 00:00:00,10.09675959,3651.891222,0.778613387,0.559332935,1.183434195,1.177190282
CGPOWER,0,1235,1236 days,10000,46515.98007,365.1598007,2344.925125,100,0,33.00134275,261 days,2,1,1,3441.055556,100,330.7492451,330.7492451,330.7492451,,815 days 00:00:00,,,33074.92451,1.411886251,1.740895677,1.271968448,2.379839267
CRISIL,0,1235,1236 days,10000,8334.880639,-16.65119361,159.0355776,100,0,51.61769196,425 days,5,5,0,0,40,17.08784421,-22.47202594,10.63859447,-11.53119727,209 days 12:00:00,108 days 08:00:00,0.549358757,-333.0238722,-0.032519781,-0.101448168,0.993878196,-0.050436039
CAMPUS,0,861,862 days,10000,9189.847135,-8.101528653,-25.82781457,100,0,30.04182728,272 days,2,2,0,0,50,2.078679338,-9.972903311,2.078679338,-9.972903311,30 days 00:00:00,137 days 00:00:00,0.187645924,-405.0764327,-0.107734385,-0.116976286,0.967908325,-0.157036713
CANFINHOME,0,1235,1236 days,10000,10139.94817,1.399481721,96.15824531,100,0,46.72884152,1007 days,5,4,1,1096.132281,25,34.67644601,-18.88966955,34.67644601,-12.2792607,313 days 00:00:00,113 days 00:00:00,0.750153536,-239.0460272,0.169669598,0.008800893,1.032763486,0.237925885
CANBK,0,1235,1236 days,10000,24380.3291,143.803291,770.2685003,100,0,33.06468717,397 days,3,2,1,3555.502882,50,115.3172399,-3.283052351,115.3172399,-3.283052351,484 days 00:00:00,163 days 00:00:00,33.97183554,5412.41311,0.977447942,0.910503167,1.208405575,1.436506783
CAPLIPOINT,0,1235,1236 days,10000,21100.24359,111.0024359,327.4286917,100,0,38.12505767,487 days,4,3,1,-3113.338084,100,133.3042955,0.046176203,45.69599281,,197 days 08:00:00,,,4737.860557,0.777922902,0.647100143,1.177290314,1.257271536
