,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
80,80,HAPPSTMNDS.NS,10.264437701585406,2021-06-30,974.2374877929688,0.0,2021-10-29,1236.4986572265625,0.0,2691.9634351960576,0.26919634351960575,Long,Closed,80
81,81,HBLENGINE.NS,12.291052482884124,2025-09-30,813.5999755859375,0.0,2025-10-30,1002.75,0.0,2324.8528772120553,0.23248528772120552,Long,Open,81
82,82,HFCL.NS,141.1492064449293,2021-09-30,70.84701538085938,0.0,2021-11-30,71.2439193725586,0.0,56.022683463170324,0.005602268346317032,Long,Closed,82
83,83,HINDCOPPER.NS,60.28875605868145,2021-05-31,165.868408203125,0.0,2021-06-30,140.26783752441406,0.0,-1543.426560611837,-0.1543426560611837,Long,Closed,83
84,84,HINDCOPPER.NS,22.084642545019168,2024-04-30,382.9164733886719,0.0,2024-06-28,316.15411376953125,0.0,-1474.4228476507424,-0.1743522785225664,Long,Closed,84
85,85,HINDZINC.NS,15.389310384374891,2024-05-31,649.8016967773438,0.0,2024-08-30,490.9878540039063,0.0,-2444.0355197757417,-0.24440355197757416,Long,Closed,85
86,86,HSCL.NS,44.67592570500446,2023-08-31,223.83419799804688,0.0,2023-11-30,272.9490966796875,0.0,2194.253564509798,0.21942535645097977,Long,Closed,86
87,87,HUDCO.NS,54.90958886847505,2024-02-29,182.1175537109375,0.0,2024-08-30,269.5511169433594,0.0,4800.941010398103,0.48009410103981026,Long,Closed,87
88,88,IFCI.NS,163.80016584716805,2024-01-31,61.04999923706055,0.0,2024-03-28,39.650001525878906,0.0,-3505.323174220569,-0.35053231742205687,Long,Closed,88
89,89,IFCI.NS,111.784457768485,2024-05-31,58.09999847412109,0.0,2024-08-30,74.93000030517578,0.0,1881.33262892706,0.2896730167480319,Long,Closed,89
90,90,INOXWIND.NS,80.04002001000501,2023-12-29,124.93749999999999,0.0,2024-01-31,119.5,0.0,-435.2176088044016,-0.04352176088044016,Long,Closed,90
91,91,INOXWIND.NS,63.46902843322961,2024-02-29,150.6999969482422,0.0,2024-06-28,141.86000061035156,0.0,-561.065978919225,-0.05865956547382483,Long,Closed,91
92,92,INTELLECT.NS,8.57855842100909,2025-05-30,1165.697021484375,0.0,2025-06-30,1142.1851806640625,0.0,-201.69770006251747,-0.020169770006251746,Long,Closed,92
93,93,IRCON.NS,139.88851566643154,2023-04-28,71.4854965209961,0.0,2023-05-31,78.07601165771484,0.0,921.9373799527348,0.09219373799527347,Long,Closed,93
94,94,IRCTC.NS,12.292471693890445,2021-10-29,813.5060424804688,0.0,2022-02-28,780.431640625,0.0,-406.5661486007084,-0.04065661486007084,Long,Closed,94
95,95,IRFC.NS,135.25709807728782,2023-09-29,73.93327331542969,0.0,2024-03-28,138.97434997558594,0.0,8797.26728487515,0.879726728487515,Long,Closed,95
96,96,ITI.NS,37.05076037843607,2023-10-31,269.8999938964844,0.0,2024-03-28,252.6999969482422,0.0,-637.2729654391533,-0.06372729654391533,Long,Closed,96
97,97,J&KBANK.NS,184.63035930672055,2022-12-30,54.16227340698242,0.0,2023-05-31,54.92646408081055,0.0,141.09279868773228,0.014109279868773228,Long,Closed,97
98,98,JBMA.NS,53.736179759066175,2021-11-30,186.0943603515625,0.0,2022-05-31,213.64749145507807,0.0,1480.6000059036305,0.14806000059036306,Long,Closed,98
99,99,JBMA.NS,35.761117662216115,2023-03-31,321.03582763671875,0.0,2023-09-29,684.4739990234375,0.0,12996.955209901116,1.1320797870510022,Long,Closed,99
100,100,JINDALSAW.NS,137.14070953618227,2023-02-28,72.91780853271484,0.0,2023-12-29,202.66510009765625,0.0,17793.63562561398,1.7793635625613982,Long,Closed,100
101,101,JMFINANCIL.NS,56.89821881383154,2025-08-29,175.75242614746094,0.0,2025-10-30,165.56259155273438,0.0,-579.7834384475027,-0.05797834384475027,Long,Open,101
102,102,JPPOWER.NS,539.0835801233494,2024-01-31,18.549999237060547,0.0,2024-03-28,15.25,0.0,-1778.9754031189223,-0.17789754031189223,Long,Closed,102
103,103,JSL.NS,42.472017080573764,2022-12-30,235.4491424560547,0.0,2023-06-30,326.451904296875,0.0,3865.0708552827073,0.38650708552827073,Long,Closed,103
104,104,JSWENERGY.NS,40.486525269421094,2021-07-30,246.99575805664065,0.0,2021-12-31,293.8912048339844,0.0,1898.6336909717193,0.1898633690971719,Long,Closed,104
105,105,JUBLINGREA.NS,13.732698028414045,2021-09-30,728.1890258789062,0.0,2021-10-29,644.8917846679688,0.0,-1143.8958601497707,-0.11438958601497706,Long,Closed,105
106,106,JWL.NS,125.98551135861194,2022-08-30,79.37420654296875,0.0,2022-09-30,71.33253479003906,0.0,-1013.1341279709522,-0.10131341279709523,Long,Closed,106
107,107,JWL.NS,73.53418639011956,2023-01-31,122.21343994140622,0.0,2023-02-28,92.23094177246094,0.0,-2204.7386087966415,-0.2453289767747315,Long,Closed,107
108,108,JWL.NS,39.30567207362201,2023-06-30,172.54830932617188,0.0,2023-07-31,203.9207305908203,0.0,1233.1141023837981,0.18181818985745304,Long,Closed,108
109,109,JWL.NS,23.513570267406234,2023-08-31,340.87725830078125,0.0,2023-12-29,317.0769348144531,0.0,-559.6305786827752,-0.06982080178938582,Long,Closed,109
110,110,JYOTICNC.NS,8.766547232448552,2024-07-31,1140.699951171875,0.0,2024-09-30,1145.199951171875,0.0,39.44946254601746,0.0039449462546017455,Long,Closed,110
111,111,KALYANKJIL.NS,98.35429592808022,2022-10-31,101.6732406616211,0.0,2023-03-31,104.50025177001952,0.0,278.0486871473877,0.027804868714738768,Long,Closed,111
